source,trade_id,timestamp,event_type,total_buys,total_sells,total_trades,win_rate_pct,realized_pnl_usd,realized_pnl_sol,total_cost_usd,sold_income_usd,total_fees_usd,native_balance_sol,avg_holding_seconds,loss_gt_50,loss_0_50,profit_0_100,profit_100_400,profit_gt_400,token_address,token_amount,current_sol_balance,token_symbol,quote_amount_sol,buy_cost_usd,sold_usd,pnl_usd,pnl_pct,pnl_sol,is_win,score_at_buy,rug_ratio,source_strat,timestamp_open,timestamp_close,entry_price,smart_degen,bundler_rate,holder_count,price_usd,launchpad,tx_hash,gas_usd,dex_usd,priority_fee_sol,tip_fee_sol
bot_positions,128,2026-07-03 21:22:35 UTC,close,,,,,,,,,,,,,,,,,EDcgxGEi3Y9YY3aSdsyEwEDUYz9oLNrTuMoNVs24pump,,,KEKIUS,0.05,,,,,-0.005000000000000001,False,100,0.214,trending,2026-07-03 21:22:01 UTC,2026-07-03 21:22:35 UTC,61534.7,4,0.2149,191,,,,,,,
bot_positions,129,2026-07-03 21:22:35 UTC,close,,,,,,,,,,,,,,,,,BcHEaaTCvycPwwsJ9yQTXdHP9X2gCLkznDbZ8VySpump,,,Jotchua,0.05,,,,,-0.005000000000000001,False,100,0.252,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:35 UTC,9257530,69,0.2468,10874,,,,,,,
bot_positions,130,2026-07-03 21:22:35 UTC,close,,,,,,,,,,,,,,,,,DdPrHYqM8Ueovnk9kAnAgoGhswkuaTqmxcoZzU3Zpump,,,manlet,0.05,,,,,-0.005000000000000001,False,100,0,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:35 UTC,4678210,37,0.1452,28594,,,,,,,
bot_trade_log,30,2026-07-03 21:22:36 UTC,close,,,,,,,,,,,,,,,,,HMSPnngim78o9t2KVfGBEg79NGS1s3c1AyRFu8z3pump,,,FABLE,0.05,,,,,-0.005,False,100,0.13,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:36 UTC,,,,,,,,,,,
bot_positions,131,2026-07-03 21:22:36 UTC,close,,,,,,,,,,,,,,,,,35B4vyZzEHQmL7Mg9Am8KpuTcNxEUW4Qdw8xiMhipump,,,KEVIN,0.05,,,,,-0.005000000000000001,False,100,0.01,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:36 UTC,175189,29,0.0147,283,,,,,,,
bot_positions,132,2026-07-03 21:22:36 UTC,close,,,,,,,,,,,,,,,,,HMSPnngim78o9t2KVfGBEg79NGS1s3c1AyRFu8z3pump,,,FABLE,0.05,,,,,-0.005000000000000001,False,100,0.13,smart_money,2026-07-03 21:22:01 UTC,2026-07-03 21:22:36 UTC,551341,28,0.1407,2220,,,,,,,
bot_trade_log,31,2026-07-03 21:23:34 UTC,close,,,,,,,,,,,,,,,,,DbGk4FpMmgtDrGryP4ooSqjkt7WVjkWmzEF6s6Papump,,,BFPOS,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 21:23:01 UTC,2026-07-03 21:23:34 UTC,,,,,,,,,,,
bot_trade_log,32,2026-07-03 21:23:35 UTC,close,,,,,,,,,,,,,,,,,2hEXK7grisLruzRvpsQcj36V66svFef6rv7ZNNP3gEXj,,,KIRB,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 21:23:01 UTC,2026-07-03 21:23:35 UTC,,,,,,,,,,,
bot_trade_log,33,2026-07-03 21:23:35 UTC,close,,,,,,,,,,,,,,,,,7GmZXw5rJEv5xj49t2dVBWavXVSv2Wy7idf1MNAZpump,,,FAG,0.05,,,,,-0.005,False,100,0,trending,2026-07-03 21:23:01 UTC,2026-07-03 21:23:35 UTC,,,,,,,,,,,
bot_trade_log,34,2026-07-03 21:23:35 UTC,close,,,,,,,,,,,,,,,,,CFPkPq1eYPR8GLzEo59wUbbMioX4bshaTQiSGzTSpump,,,MENSA,0.05,,,,,-0.005,False,100,0.23,smart_money,2026-07-03 21:23:01 UTC,2026-07-03 21:23:35 UTC,,,,,,,,,,,
